codigo;nome;latitude;longitude;localização;fomos
1;Museu ferroviário;-237.792.374;-463.030.168;Museu ferroviário;sim
2;Paróquia Senhor Bom Jesus de Paranapiacaba (1889);-237.785.842;-463.042.809;Paróquia Senhor Bom Jesus de Paranapiacaba (1889);sim
3;Museu castelinho;-237.780.618;-463.007.407;Museu castelinho;sim
4;Relogio;-237.764.676;-463.034.215;Relogio;sim
5;Mercado central;-237.775.811;-463.001.971;Mercado central;sim
6;Nascentes;-237.771.859;-463.013.796;Nascentes;sim
7;Ponte;-237.779.228;-463.029.487;Ponte;sim
8;Hotel Os memorialistas;-237.769.444;-462.983.333;Hotel Os memorialistas;sim
9;Associação de bruxas;-237.782.795;-462.998.846;Associação de bruxas;sim
10;Casa Fox;-237.766.636;-463.011.617;Casa Fox;sim
